e2,0.125,short
e2,0.125,short
rest,0.125
e2,0.125,short
rest,0.125
c2,0.125,short
e2,0.25
g2,0.25
rest,0.25
g1,0.25
rest,0.25
c2,0.25
rest,0.125
g1,0.25
rest,0.125
e1,0.375
a1,0.25
b1,0.25
a1,0.125,short
a1,0.25,short
g1,0.1875
e2,0.25
g2,0.125
a2,0.25
f2,0.125
g2,0.125
rest,0.125
e2,0.25
c2,0.125
d2,0.125
b1,0.25
rest,0.125
c2,0.25
rest,0.125
g1,0.25
rest,0.125
e1,0.375
a1,0.25
b1,0.25
a1,0.125,short
a1,0.25,short
g1,0.1875
e2,0.25
g2,0.125
a2,0.25
f2,0.125
g2,0.125
rest,0.125
e2,0.25
c2,0.125
d2,0.125
b1,0.25
rest,0.125
